,Make,Model,Sale Price,Resell Price,Top Speed,0-60 Time,Country,City,Color,Buyer Gender,Buyer Age
0,Suzuki,Vitara,54806.14,33858.32,200.9,11.5,Belgium,Antwerpen,Yellow,Female,51
1,Honda,S2000,51826.3,2989.28,158.5,8.8,China,Jinhu,Crimson,Male,30
2,BMW,Z4,82929.14,35049.16,149.5,14.4,China,Gemo,Khaki,Female,54
3,Toyota,Tacoma,56928.66,8236.15,153.3,11.5,Portugal,Queluz de Baixo,Puce,Male,68
4,Ford,Festiva,77201.26,32765.76,122.0,14.9,Latvia,Jaunpils,Yellow,Male,70
5,Buick,Skylark,50882.23,38576.59,182.7,9.6,Mexico,Guadalupe,Crimson,Female,70
6,Infiniti,QX,69680.54,27962.25,231.8,5.3,Japan,Gosen,Fuscia,Male,66
7,Ram,C/V,56393.91,29157.95,144.1,4.7,Russia,Izborsk,Aquamarine,Male,37
8,GMC,Safari,13797.81,31062.38,223.3,5.8,Luxembourg,Eschweiler,Mauv,Male,43
9,Nissan,Altima,15176.04,45892.79,170.4,4.1,Cyprus,Meneou,Puce,Female,73
10,Toyota,Previa,82844.12,4740.87,135.4,8.9,Brazil,Freguesia do Ribeirao da Ilha,Violet,Female,67
11,Scion,xB,95681.78,16358.27,136.4,4.1,China,Chengbei,Green,Female,29
12,Porsche,928,90954.5,40650.31,213.9,2.5,Philippines,Pangal Sur,Fuscia,Female,37
13,Lexus,HS,46666.83,33634.37,134.1,4.4,Paraguay,Villa Elisa,Turquoise,Male,43
14,GMC,Yukon,11280.0,9279.51,248.7,7.3,Mexico,San Isidro,Teal,Male,41
15,Mitsubishi,Mirage,23110.07,41916.47,245.6,3.4,China,Dalu,Indigo,Male,21
16,Dodge,Viper,77346.39,32280.44,159.8,8.2,Indonesia,Sumberejo,Teal,Male,57
17,Mazda,B2500,15500.07,20175.47,185.6,5.4,Togo,Tchamba,Crimson,Female,54
18,Land Rover,LR3,84151.25,49656.3,120.6,13.0,Palestinian Territory,Ar Ramāḑīn,Aquamarine,Male,37
19,Isuzu,Space,97058.87,21985.35,136.6,8.5,China,Dengteke,Green,Female,66
20,Acura,TL,74986.42,31655.99,125.2,11.8,Iran,Rāmhormoz,Red,Female,43
21,Pontiac,Bonneville,63314.15,36647.24,175.4,12.1,Hong Kong,Hong Kong,Pink,Female,56
22,Dodge,Dakota Club,77520.81,23681.6,143.7,13.0,Bangladesh,Jessore,Yellow,Male,53
23,Audi,Cabriolet,78231.21,5938.36,155.0,3.4,Ecuador,Macas,Puce,Female,55
24,Pontiac,Sunfire,62931.23,27403.55,126.2,10.8,Afghanistan,Khudāydād Khēl,Maroon,Male,32
25,Citroën,2CV,44071.48,43216.49,245.1,13.9,Kazakhstan,Zhangatas,Green,Male,47
26,Ford,Tempo,65774.81,33514.28,247.5,7.1,Philippines,Binalonan,Pink,Female,72
27,Buick,LeSabre,16281.78,43289.16,248.2,3.8,United States,Jacksonville,Puce,Male,47
28,Saab,9-2X,99305.5,6753.2,120.3,8.2,Poland,Łąck,Pink,Male,67
29,Buick,Skylark,57747.61,31158.31,220.2,3.9,China,Dasiping,Violet,Female,57
30,Ford,Escape,56105.94,48912.1,205.3,4.2,France,Saint-Étienne,Crimson,Male,42
31,Mercury,Sable,54543.15,39275.37,185.2,5.8,China,Longgao,Orange,Female,66
32,Plymouth,Colt,98635.22,12622.44,130.6,3.5,Indonesia,Gudang,Teal,Female,67
33,Infiniti,G,14908.65,44991.92,140.7,8.9,Vietnam,Thành Phố Hạ Long,Goldenrod,Female,68
34,Maserati,Spyder,98249.11,42102.6,208.9,3.3,Bhutan,Mongar,Violet,Female,65
35,Buick,Riviera,18698.98,35681.18,230.7,7.8,Mexico,Francisco I Madero,Indigo,Female,49
36,Cadillac,Seville,31017.64,11061.65,132.6,12.7,Indonesia,Mondokan,Turquoise,Male,52
37,Buick,Century,32002.48,23777.88,224.7,5.8,Mexico,Guadalupe Victoria,Turquoise,Male,75
38,Scion,iQ,74486.44,12498.33,177.8,12.7,France,Saint-Dizier,Teal,Male,48
39,BMW,7 Series,89823.58,2386.28,160.8,10.9,Afghanistan,Kandahār,Teal,Male,29
40,Chevrolet,Camaro,33074.12,25108.18,138.3,8.2,Serbia,Beška,Maroon,Male,49
41,Subaru,Outback,71250.14,16427.16,193.4,14.9,Sweden,Norrköping,Yellow,Female,72
42,Mercedes-Benz,C-Class,17346.3,35127.97,227.5,2.6,United States,Roanoke,Purple,Female,23
43,Mercedes-Benz,Sprinter 3500,17223.27,41532.58,236.5,14.9,Russia,Roshal’,Green,Female,28
44,Chevrolet,Suburban 1500,10490.64,16590.68,230.7,12.0,Maldives,Open Stage,Pink,Male,36
45,Volkswagen,Cabriolet,62673.34,30736.63,195.4,7.6,Argentina,Costa Sacate,Fuscia,Female,22
46,Ford,E-Series,10978.72,43459.97,213.0,4.4,China,Ciyu,Indigo,Female,40
